news_id,publish_time,platform,check_time,label,url,title,content,pic_url,hashtag,DeepSeek-V3,Moonshot-v1,doubao-1.5-pro-32k,Claude 3.7 Sonnet,ChatGPT-4o-latest,Unnamed: 15,AIGen,AIGen_title,AIGen_content,AIGen_Processed,gen_qualitygen_quality_finally
news_plf11s00001,2018/12/1,网易,2022/2/1,事实,"https://www.china2au.com/html/aozhouxinwen/zhongwenxinwen/2023/0323/1611858.html
",青少年妈妈明星珍妮尔·埃文斯的婚纱在这里售价2999美元,2023年3月23日?·?青少年妈妈明星 Jenelle Evans 在周三发布到她的 Instagram 的新视频中展示了她的身材。 这位 31 岁的真人秀明星在剪辑和随附的快照中穿上了一件黑色两件式泳 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00002,2015/3/1,凤凰,2021/6/1,事实,"https://www.36kr.com/p/1725141041153
",凯莉·詹纳拒绝就《凯莉的一生》讨论泰加,2020年2月23日?·?2018年詹纳才20岁（她在8月满21岁），同时也是个非常年轻的母亲（她于2月生下小女儿斯托米），还经营着史上最火的化妆公司之一。. 2016年，Kylie ...,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00003,2021/4/1,腾讯,2018/10/1,事实,"https://bbs.hupu.com/58989688.html
",奎因帕金斯,2023年3月30日?·?虎扑03月30日讯 今日步行者官方宣布，球队正式裁掉后卫特雷夫林-奎因。去年休赛期，奎因与步行者签下一份双向合同。本赛季常规赛至今，奎因共上场7次，场 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00004,2023/1/1,凤凰,2019/9/1,事实,"https://www.thepaper.cn/newsDetail_forward_15313768
",席琳·迪翁向拉斯维加斯枪击案受害者捐赠音乐会收益,2021年11月10日?·?今年10月下旬，席琳·迪翁亲自宣布，由于健康问题，她原定于11月5日在拉斯维加斯新落成的名胜世界剧院举行的音乐会取消。 “这个决定让我心碎。 ”她写道，“我 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00006,2017/3/1,百家号,2019/3/1,事实,"https://baike.baidu.com/item/%E4%BD%BF%E5%A5%B3%E7%9A%84%E6%95%85%E4%BA%8B%E7%AC%AC%E4%B8%89%E5%AD%A3/23598363
",《使女的故事》续订第三季,琼·奥芙瑞德在将自己的第二个女儿妮可成功送到加拿大之后，她重新回到了基列国，希望拯救她的另一个孩子汉娜。她随后被分配到劳伦斯大主教家中继续担任使女。她通过与莉迪亚嬷嬷、劳伦斯大主教、大主教的妻子埃莉诺之间的斡旋，以及和众多使女盟友的合作，一起酝酿着一个令人震惊的计划。另一边，琼·奥芙瑞德原 … 展开,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00007,2020/8/1,网易,2019/12/1,事实,"https://new.qq.com/rain/a/20220929A00DDF00
",赛琳娜·戈麦斯和贾斯汀·比伯关系的完整时间表,贾斯汀·比伯爱妻首谈赛琳娜，我不欠她的；自曝和丈夫的卧房之事惹争议. 分分合合12次的赛琳娜·戈麦斯和贾斯汀·比伯，最终没能走在一起，这也成为了很多“北美意难忘”粉丝心中永远的遗憾。. 已经30岁的“傻脸娜”至今还没 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00008,2018/3/1,搜狐,2017/9/1,事实,"https://www.zhihu.com/question/403884090
",《魔爪》第二季何时登陆Hulu？,2020年6月28日?·?关注. 看了相关新闻，目前还没有关于花游记第二季的官方消息。. 好多观众在期待第二季，甚至自行发起了相关投票请愿。. 看了下请愿链接，3年前发起的，目前 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00009,2022/12/1,百家号,2016/11/1,事实,"https://new.qq.com/rain/a/20220316A0CHV500#:~:text=%E7%AC%AC,27%20%E5%B1%8A%E8%AF%84%E8%AE%BA%E5%AE%B6%E9%80%89%E6%8B%A9%E5%A5%96%E6%8F%AD%E6%99%93%EF%BC%8C%E8%8E%B7%E5%A5%96%E7%9A%84%E5%87%A0%E4%B9%8E%E9%83%BD%E6%98%AF%E6%8E%A5%E4%B8%8B%E6%9D%A5%E5%A5%A5%E6%96%AF%E5%8D%A1%E9%A2%81%E5%A5%96%E7%9A%84%E5%A4%A7%E7%83%AD%E9%97%A8_%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB
",评论家选择奖-评论家选择奖,2023年1月16日?·?屡屡在艾美奖、金球奖上折戟的《风骚律师》终于获得认可，拿下第28届美国评论家选择奖剧情剧集的最佳剧集、最佳男主角、最佳男配角三个奖项 评论家选择奖 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00011,2022/6/1,新浪,2018/12/1,事实,"https://zh.ag.ny.gov/press-release/2021/attorney-general-james-ends-discriminatory-housing-practices-against-jewish
",找出奥兰治县哪些真正的家庭主妇不会回来,2021年6月18日?·?2020年5月，司法部长詹姆斯干预了 “切斯特绿党” 开发商提起的诉讼，指控该镇和县采取了协调一致的系统措施，通过阻止住房开发的建设来阻止哈西迪奇犹太家庭 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
news_plf11s00012,2021/6/1,界面,2018/11/1,事实,"https://www.sohu.com/a/575986759_121242461
",单身女子Rachel Lindsay的狗Copper和他的腿发生了什么,2022年8月11日?·?本周二（8月2日），这名女子因涉嫌与她的狗发生性行为而被逮捕，而她的前男友也在此前因拍摄该女子与狗发生性关系的视频而被捕。 这对男女被警方拘留 …,,,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",,"Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.","Contains risky content, please request from the corresponding author.",good
